id;pais;cidade;telefone;idade;operadora;estado_civil
Aphrodite Ramirez;Central African Republic;Uddevalla;55(74)64115703;57;TIM;Casado
Kaseem Trevino;Vanuatu;Milford Haven;55(23)48265935;58;TIM;Solteiro
Allegra J. Huffman;French Southern Territories;Columbus;55(77)96662492;55;OI;Solteiro
Dolan Hale;Canada;Alness;55(81)41797587;58;CLARO;Divorciado
Alfreda L. Page;Lebanon;Midway;55(99)52800972;44;VIVO;Divorciado
Rose Bridges;Anguilla;Northumberland;55(80)45015207;26;TIM;Casado
Cody Holcomb;France;Adana;55(25)76734077;44;OI;Casado
Sonya Moon;Saint Kitts and Nevis;Rae Lakes;55(62)29848260;42;VIVO;Solteiro
Mikayla I. Bennett;Antarctica;Roccanova;55(20)37169830;30;CLARO;Divorciado
Inez N. Michael;Comoros;Sousa;55(76)19570123;46;TIM;Solteiro
Kelsie Y. Dotson;Estonia;Tomaszów Mazowiecki;55(31)49085676;46;NEXTEL;Casado
Shelby Snyder;Estonia;Poznań;55(00)92712370;52;CLARO;Solteiro
Hope T. Hobbs;Laos;Bama;55(02)16824045;47;OI;Solteiro
Giacomo O. Nolan;Martinique;Glendale;55(66)15793276;46;VIVO;Casado
Davis O. Whitley;Uzbekistan;Lidköping;55(50)31614390;27;NEXTEL;Solteiro
Tobias M. Drake;Cuba;Red Deer;55(38)40262931;28;CLARO;Divorciado
Felix M. Battle;Bhutan;Gavirate;55(40)47734206;29;TIM;Divorciado
Susan H. Maddox;United Arab Emirates;Soma;55(41)64057518;22;CLARO;Divorciado
Jordan Mcclain;Bermuda;Minturno;55(32)24354724;59;TIM;Casado
Joy Y. Donaldson;Benin;Limburg a.d. Lahn;55(23)59061940;38;NEXTEL;Casado
Plato K. Workman;Western Sahara;Doetinchem;55(08)15841113;40;VIVO;Casado
Tanisha B. Beck;Italy;Chicago;55(40)89909913;52;TIM;Casado
August Finch;Mozambique;Gladstone;55(66)76264519;32;OI;Solteiro
Darius X. Sanchez;United States;Gillette;55(14)63492610;22;CLARO;Solteiro
Honorato W. Lane;Djibouti;Wittenberg;55(11)47933739;40;TIM;Solteiro
Lance Stephens;Suriname;Brecon;55(18)31650583;23;VIVO;Divorciado
Kirsten Fleming;Singapore;Nethen;55(81)96818702;47;NEXTEL;Divorciado
Rylee Nunez;Heard Island and Mcdonald Islands;Elx;55(47)60888633;31;TIM;Solteiro
Clarke Z. Guerra;Peru;Damoh;55(26)78408551;24;VIVO;Solteiro
Oren Strickland;Iraq;San Donato di Ninea;55(46)95407526;28;OI;Solteiro
Jenette Slater;Dominica;Jamshedpur;55(51)24593761;20;NEXTEL;Casado
Camille Vang;Iceland;Colloredo di Monte Albano;55(17)25897824;44;CLARO;Casado
Preston Johnson;Belgium;Rivello;55(71)64799181;23;NEXTEL;Divorciado
Jason I. Burns;Tonga;Riksingen;55(72)20328071;43;NEXTEL;Solteiro
Stephanie F. Estes;Ecuador;Ribeirão Preto;55(84)29179194;54;CLARO;Solteiro
Zenaida Payne;Bermuda;Vichuquén;55(04)93815524;28;NEXTEL;Casado
Quincy Freeman;Åland Islands;Saint-Rhémy-en-Bosses;55(88)54624142;42;VIVO;Divorciado
Len Morrow;Eritrea;Ferrazzano;55(80)71132080;45;NEXTEL;Casado
Olga G. Bruce;Solomon Islands;Castel Colonna;55(47)87554967;46;VIVO;Divorciado
Jordan West;Brazil;Saint-Marcel;55(01)26927591;60;TIM;Casado
Kennan V. Floyd;Gambia;Sommethonne;55(88)55474531;52;NEXTEL;Casado
Aquila Galloway;Indonesia;Fallo;55(88)18337381;21;VIVO;Divorciado
MacKensie Snyder;Heard Island and Mcdonald Islands;Buckingham;55(10)56700309;58;OI;Casado
Lance V. Estrada;Cyprus;Charleville-Mézières;55(81)60061355;59;OI;Casado
Galvin Goff;Macao;Prè-Saint-Didier;55(61)57015826;37;OI;Solteiro
Zeph K. Nash;Romania;Doetinchem;55(54)91595197;32;NEXTEL;Divorciado
Driscoll E. Dudley;Cyprus;Mödling;55(02)18541298;55;OI;Solteiro
Sharon Whitehead;Syria;Muzaffarnagar;55(92)52004068;23;NEXTEL;Casado
Alvin Kim;Kuwait;Schweinfurt;55(41)96671163;42;CLARO;Divorciado
Carol Q. Parsons;Iran;Limal;55(43)76970079;45;TIM;Divorciado
Hope G. Hartman;Yemen;Cras-Avernas;55(47)79267558;53;CLARO;Divorciado
Brett A. Patel;Poland;North Saanich;55(74)75832416;55;CLARO;Divorciado
Phelan Hawkins;Cambodia;King's Lynn;55(74)23324657;40;NEXTEL;Divorciado
Erin G. Long;Fiji;Chelsea;55(09)84693254;42;OI;Solteiro
Alma Weeks;Seychelles;Lakeshore;55(19)62245633;18;VIVO;Casado
Shad Y. Morrow;Brazil;Rezé;55(92)28677094;40;OI;Casado
Molly Bush;India;Froidchapelle;55(17)74423443;52;VIVO;Divorciado
Xandra I. Sims;Tuvalu;Vance;55(41)96807957;20;OI;Solteiro
Abdul Beasley;Honduras;Ch‰telineau;55(22)22517749;49;VIVO;Solteiro
Brielle Z. Floyd;Guernsey;Terlago;55(97)48219287;56;VIVO;Solteiro
Allegra Weiss;Portugal;Castelmarte;55(49)95985704;30;NEXTEL;Solteiro
Troy O. Mueller;Myanmar;Bad Nauheim;55(17)14212072;51;CLARO;Casado
Leonard Clay;South Africa;Panketal;55(18)21853620;54;VIVO;Casado
Russell J. Buchanan;Ghana;Pitrufquén;55(37)82080242;26;OI;Solteiro
Carter Cash;French Polynesia;Hody;55(92)69416175;48;TIM;Casado
Katell Mcintyre;Cook Islands;Sarreguemines;55(31)44109648;49;TIM;Solteiro
Tatum Mueller;Malawi;Amberloup;55(38)96968509;40;NEXTEL;Divorciado
Dalton Z. Grant;Bolivia;Fairbanks;55(56)10915398;59;VIVO;Casado
Palmer N. Vasquez;Cambodia;Hamburg;55(59)36485453;31;TIM;Casado
Ferdinand K. Browning;Somalia;Wakefield;55(03)67243452;20;CLARO;Divorciado
Ayanna Castaneda;Lesotho;Reana del Rojale;55(62)76311704;52;TIM;Divorciado
Eric G. Montgomery;New Zealand;York;55(39)67614571;59;OI;Casado
Sacha F. Duffy;Syria;Isle-aux-Coudres;55(02)78852788;48;VIVO;Solteiro
Lane V. Harris;Brunei;Retie;55(93)20260814;37;OI;Divorciado
Emery Franco;Mongolia;Los Angeles;55(13)30156979;20;NEXTEL;Casado
Gil Allen;Equatorial Guinea;Johnstone;55(50)54246030;35;TIM;Divorciado
Trevor Cooley;Virgin Islands, United States;Huntley;55(13)12552572;50;VIVO;Solteiro
Michael Strong;Moldova;San Bernardo;55(99)50886305;40;NEXTEL;Solteiro
Dillon Oneal;Indonesia;Oakham;55(43)35225035;36;VIVO;Divorciado
Cheryl Parker;Tunisia;LaSalle;55(51)37881276;27;CLARO;Solteiro
Hasad W. Dyer;Belarus;Sinaai-Waas;55(84)21726226;42;TIM;Casado
Elliott F. Bray;Djibouti;Compiano;55(93)49850238;58;CLARO;Solteiro
Kylan Barker;Tunisia;Bleid;55(14)61253513;34;OI;Divorciado
Colby F. Warner;Guinea;Carlton;55(74)54615407;27;NEXTEL;Divorciado
Darius N. Craig;Antarctica;Rancagua;55(42)78919275;24;TIM;Solteiro
Plato B. Foster;Bhutan;Mjölby;55(00)77101892;34;CLARO;Casado
Nolan Arnold;Greece;Fremantle;55(88)47710571;42;VIVO;Solteiro
Kaseem Travis;Lithuania;Hulste;55(53)66200572;49;CLARO;Casado
Joseph V. Larsen;Mauritius;Adana;55(37)27774327;31;NEXTEL;Casado
Gary C. Silva;Oman;Allappuzha;55(25)36731601;51;OI;Casado
Gay Gould;Mauritania;Cochamó;55(10)59946717;53;NEXTEL;Divorciado
Samson Galloway;Swaziland;Inverness;55(33)11886779;36;OI;Casado
Nolan Bennett;Spain;Lüneburg;55(40)10491638;31;CLARO;Divorciado
Abraham Herman;Australia;Waarloos;55(19)71943449;20;VIVO;Divorciado
Keefe Le;Anguilla;Chapecó;55(47)85612209;19;CLARO;Casado
Lisandra Bush;Guinea;Denderwindeke;55(46)28851697;39;VIVO;Casado
Anjolie A. Hoover;Chile;Overland Park;55(94)90175001;54;CLARO;Solteiro
Blair Montoya;Sweden;Cercepiccola;55(58)56577083;24;TIM;Divorciado
Natalie Kramer;Spain;Campobasso;55(74)57231506;20;NEXTEL;Divorciado
Edward R. Bell;Equatorial Guinea;Grande Cache;55(13)46222823;25;VIVO;Solteiro
